angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.4,,"[430, 83, 177, 229]",,0.0,,0.08,,0.01,,0.21,,0.29,,0.02,
0.03,,"[428, 87, 175, 220]",,0.0,,0.01,,0.0,,0.92,,0.04,,0.0,
0.02,,"[428, 87, 174, 220]",,0.0,,0.0,,0.0,,0.94,,0.04,,0.0,
0.01,,"[427, 89, 185, 231]",,0.0,,0.0,,0.0,,0.95,,0.04,,0.0,
0.01,,"[427, 89, 185, 231]",,0.0,,0.0,,0.0,,0.95,,0.04,,0.0,
0.03,,"[424, 91, 184, 237]",,0.0,,0.02,,0.01,,0.79,,0.15,,0.01,
0.04,,"[425, 91, 184, 237]",,0.0,,0.03,,0.01,,0.69,,0.22,,0.01,
0.03,,"[421, 100, 178, 227]",,0.0,,0.04,,0.03,,0.68,,0.21,,0.02,
0.03,,"[422, 101, 177, 225]",,0.0,,0.02,,0.03,,0.72,,0.18,,0.01,
0.03,0.05,"[425, 91, 184, 236]","[601, 125, 25, 34]",0.0,0.0,0.02,0.05,0.02,0.46,0.81,0.1,0.11,0.27,0.01,0.06
0.02,,"[421, 84, 180, 234]",,0.0,,0.01,,0.01,,0.88,,0.07,,0.02,
0.03,,"[418, 83, 183, 236]",,0.0,,0.01,,0.0,,0.88,,0.05,,0.03,
0.03,,"[422, 85, 179, 233]",,0.0,,0.02,,0.01,,0.85,,0.07,,0.02,
0.02,,"[422, 83, 179, 231]",,0.0,,0.01,,0.01,,0.86,,0.06,,0.04,
0.02,,"[421, 83, 178, 230]",,0.0,,0.01,,0.0,,0.89,,0.04,,0.04,
0.06,,"[426, 96, 172, 217]",,0.0,,0.02,,0.0,,0.54,,0.38,,0.0,
0.06,,"[426, 96, 172, 217]",,0.0,,0.02,,0.0,,0.53,,0.38,,0.0,
0.03,,"[435, 83, 172, 225]",,0.0,,0.01,,0.0,,0.79,,0.17,,0.0,
0.03,,"[435, 83, 173, 225]",,0.0,,0.01,,0.0,,0.78,,0.17,,0.0,
0.03,,"[432, 82, 171, 221]",,0.0,,0.01,,0.0,,0.62,,0.33,,0.0,
0.03,,"[432, 82, 171, 221]",,0.0,,0.01,,0.0,,0.6,,0.35,,0.0,
0.02,,"[427, 77, 175, 223]",,0.0,,0.01,,0.0,,0.68,,0.29,,0.0,
0.02,,"[424, 81, 173, 220]",,0.0,,0.01,,0.0,,0.57,,0.4,,0.0,
0.1,,"[428, 83, 171, 220]",,0.0,,0.06,,0.0,,0.61,,0.21,,0.01,
0.08,,"[429, 82, 171, 222]",,0.0,,0.04,,0.01,,0.64,,0.23,,0.01,
0.05,,"[436, 74, 174, 234]",,0.0,,0.05,,0.0,,0.55,,0.23,,0.11,
